t_name,gene_name,male_10,male_11,male_12,male_13,male_14A,male_14B,male_14C,male_14D,female_10,female_11,female_12,female_13,female_14A,female_14B,female_14C,female_14D
FBtr0304200,mir-995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0344115,CG17267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0299768,CG42322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0305057,CG42322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0305058,CG42322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0299771,CG42322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0299772,CG42322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0345263,CG42322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083930,CG31199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083929,CG31200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083928,Prosalpha4T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334711,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334715,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083958,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0113256,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334713,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0302188,CG31195,65.624916,59.71772,62.92675,75.360039,57.964016,38.783779,69.798523,63.927124,40.378078,46.277493,68.578308,56.204594,56.64896,36.929104,65.359818,76.087326
FBtr0083996,Takl1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334716,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334720,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083959,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083960,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334718,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334714,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083961,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083962,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334717,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334712,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334719,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083963,Syp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083995,Fancd2,11.24981,0,0,11.372075,0,0,0,0,0,0,4.131196,0,0,0,0,0
FBtr0083994,CG17270,18.846088,1.543887,17.326321,24.689669,22.588388,6.587255,0,1.306321,15.315027,3.096694,15.367132,20.170563,21.641741,7.544689,1.025052,0
FBtr0334723,CG17270,24.824347,38.244232,24.583382,32.521591,29.753756,8.676829,0,1.720705,20.173176,34.242432,20.241814,28.140575,28.506819,9.937977,1.350213,0
FBtr0110823,CG17271,0,0,0,0,1.52856,0,3.228524,0,0,0,0,0,0,0,3.746896,0
FBtr0083993,CG17271,41.531628,60.904076,50.54464,57.947388,73.35051,74.983986,63.841385,79.525497,46.340096,62.192562,50.900429,56.190113,62.760017,82.227577,75.187347,79.113281
FBtr0083964,RpS20,1849.571655,2151.287842,2346.755127,2280.63623,3742.8396,4516.802734,4029.800293,4269.162109,2004.526611,2836.163574,2042.300171,3474.288086,3603.587646,4495.144043,3675.62915,3174.364014
FBtr0113584,snoRNA:Psi18S-1295,0,0,0,0,0,0,0.208612,0.866185,0,0,0,0,0.178965,0.481126,0.878078,0.68872
FBtr0113585,snoRNA:Psi28S-2562,0,0,0,0,0,0,1.724701,0.647586,0,0,0,0.343546,0.492834,0,0,0
FBtr0083992,CG17272,35.330734,0,28.575237,29.243237,33.50214,0,17.908394,23.680077,35.724209,29.80994,24.189644,37.871391,23.775335,0,0,14.43715
FBtr0083991,AdSS,134.643417,230.111313,179.174606,170.293976,250.56076,294.062164,272.913361,311.219086,149.023254,185.25087,147.868134,180.160248,255.264847,315.636627,354.40152,275.10434
FBtr0334722,CR44047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334721,CR44047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083965,CG31223,18.866913,0,18.924976,19.082602,25.145239,27.145321,64.044083,53.534115,17.343287,13.005282,21.457624,25.096663,23.597292,22.695118,39.221764,53.754814
FBtr0083966,Synd,38.797211,22.574705,42.975761,36.091015,26.483555,0,2.152992,0,15.035768,26.463713,42.755238,39.290554,18.347168,10.814817,0,0
FBtr0334725,Synd,37.988682,31.208168,38.749821,39.756283,27.116449,0,9.800019,0,53.219177,19.276789,46.845058,33.500237,25.337132,14.727025,0,0
FBtr0334724,Synd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083967,CG15695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083968,CG15696,0,1.210415,2.520718,1.377571,4.956913,2.849663,4.874479,17.720062,0,1.203859,1.815754,2.729265,0.50973,1.012102,9.868176,4.347468
FBtr0346148,RpS30,606.321167,839.210388,736.4245,718.38916,1138.495117,1604.795532,1416.822388,1397.508667,678.532898,1013.235291,623.218079,1011.452576,1100.133301,1527.300293,1228.532837,905.546448
FBtr0083969,RpS30,701.315308,970.692139,956.69397,830.941406,1316.866821,1859.721191,1642.145264,1616.460693,788.703064,1171.982056,720.859619,1169.919922,1277.685303,1766.587036,1424.154663,1047.421265
FBtr0083970,RpS30,0.56453,1.460768,129.768982,0.498892,1.324492,9.576993,7.133615,4.219313,2.401943,1.454939,1.169839,0.821975,9.275455,4.023619,16.32634,324.570221
FBtr0336970,Ir93a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0304374,mir-1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0304373,mir-1011,0,0,0,0,0,0,0,1.044495,0,0,0,0,0,0,0,0
FBtr0083987,CG3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083971,TotA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083972,TotC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083973,TotB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083974,TotZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0334726,CR44048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083975,tRNA:CR31480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBtr0083976,tRNA:CR31334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
