t_name,male_10,male_11,male_12,male_13,male_14,female_10,female_11,female_12,female_13,female_14
FBtr0100465,0,0,0,0,0,0,0,0,0,0
FBtr0100323,0,0,0,0,0,0,0,0,0,0
FBtr0100464,0,0,0,0,0,0,0,0,0,0
FBtr0100320,0,0,0,0,0,0,0,0,0,0
FBtr0100321,358.476837,210.031281,203.051605,146.636566,144.817932,372.023926,249.339066,150.734726,186.587845,162.982986
FBtr0302027,0,0,0,0,0,0,0,0,0,0
FBtr0082460,0,0,0,0,0,0,0,0,0,0
FBtr0301159,0,0,0,0,0,0,0,0,0,0
FBtr0082413,6.120651,0,0,0,0,10.200538,0,0,0,0
FBtr0082414,0,0,0,0,0,0,0,0,0,0
FBtr0082459,0,0,0,0,0,0,0,0,0,0
FBtr0082458,45.381947,48.029274,50.556793,61.431091,55.008728,33.373932,47.146774,52.700665,42.391762,51.534565
FBtr0082457,0,0,0,0,0,0,0,0,0,0
FBtr0082454,0,0,0,0,0,0,0,0,0,0
FBtr0082455,0,0,0,0,0,0,0,0,0,0
FBtr0082452,264.897186,454.616974,284.054596,353.052094,401.173431,258.111298,250.186401,290.656372,326.03598,339.536346
FBtr0082453,0,0,0,3.670078,0,0,0,0,0,3.556396
FBtr0082456,0,0,0,0,0,0,0,0,0,0
FBtr0335232,8.210232,0,0,0,0,0,0,0,2.290456,0
FBtr0299566,38.207283,0,39.272572,40.338173,44.199047,30.178419,30.126753,41.732479,57.314373,47.000744
FBtr0307351,0,0,0,0,0,0,0,0,0,0
FBtr0082451,0,0,0,0,0,0,0,0,0,0
FBtr0082416,16.094063,8.797438,2.047395,0,1.81522,22.03602,13.159316,7.847993,0,0
FBtr0345158,0,0,0,0,0,0.424586,0,0,0,0
FBtr0300580,0,0,0,0,0,0.229093,2.577665,0.387389,0,0
FBtr0300581,0,0,0,0,0,0.539377,0,0.629157,0,0
FBtr0082417,13.668792,0,14.833333,14.161945,10.139129,15.016278,15.086763,15.705275,17.624514,4.209385
FBtr0082418,75.93293,82.458801,79.493759,83.554436,65.75901,66.244164,80.611588,93.854744,68.50103,62.281025
FBtr0299728,0,0,0,0,0,0,0,0,0,0
FBtr0300548,0,0,0,0,0,0,0,0,0,0
FBtr0300549,0.636081,4.533094,3.318975,1.584604,1.034461,0.769232,1.10454,0.638278,1.738718,0.553867
FBtr0335449,0,0,0,0,0,0,0,0,0,0
FBtr0300546,0,0,0,0,0,0,0,0,0,0
FBtr0299729,0,0,0,0,0,0,0,0,0,0
FBtr0300547,32.579094,36.248013,26.188557,10.414146,9.42511,38.488556,47.53896,35.180622,13.969701,6.685237
FBtr0335446,0,0,0,0,0,0,0,0,0,0
FBtr0082420,23.495239,17.670313,15.054832,20.412643,11.824068,20.986458,7.208621,20.430834,15.522811,12.899859
FBtr0335447,0,0,5.46737,0,0,0,1.410424,0,0.875177,0
FBtr0335448,0,0,1.985617,0,0,0,0,1.072948,0,0
