SAMPID	Gene	h1	h2	SMTSD	is_eGene
GTEX-OIZI-0008	ENSG00000144455.13	35	27	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000145337.4	144	236	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000145623.12	98	78	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000145687.16	24	34	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000145919.10	82	59	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000146109.4	32	30	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000146416.17	77	87	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000146701.11	328	222	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000147889.17	49	70	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000147955.16	63	55	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000149084.12	64	24	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000149196.15	116	133	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000149273.14	2273	1277	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000149639.14	78	77	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000151176.7	71	62	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000151287.16	25	38	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000152104.11	41	14	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000152219.4	46	56	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000152684.10	63	64	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000153774.8	123	100	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000154096.13	681	211	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000154277.12	61	85	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000154473.17	47	50	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000154767.14	37	15	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000155660.10	65	76	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000155906.16	39	46	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000155957.17	38	34	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000156508.17	259	12	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000159199.13	134	162	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000159210.9	92	82	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000159228.12	134	79	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000159346.12	30	42	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000159377.10	316	414	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000160310.17	80	86	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000162407.8	70	53	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000162496.8	27	30	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000162576.16	36	40	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000162704.15	290	274	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000163069.12	103	96	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000163281.11	42	43	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000163364.9	76	50	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000163735.6	43	34	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000163739.4	52	28	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000163815.5	165	237	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000163875.15	28	34	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000163956.10	159	200	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000164111.14	1122	1172	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000164182.10	119	104	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000164733.20	131	20	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000164885.12	43	37	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000165029.15	38	42	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000165030.3	38	36	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000165410.14	89	81	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000165487.13	39	34	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000165502.6	1546	1466	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166165.12	24	27	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166228.8	156	108	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166340.15	75	97	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166352.15	70	61	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166557.12	59	100	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166825.13	184	201	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166888.11	77	50	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000166902.4	112	131	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167088.10	34	33	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167112.9	71	65	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167397.14	777	830	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167747.13	63	78	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167778.8	28	23	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167987.10	37	28	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000167996.15	192	145	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000168092.13	46	34	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000168172.8	25	29	Cells - Cultured fibroblasts	FALSE
GTEX-OIZI-0008	ENSG00000168291.12	40	45	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000168385.17	69	70	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000168497.4	29	25	Cells - Cultured fibroblasts	TRUE
GTEX-OIZI-0008	ENSG00000168615.11	36	33	Cells - Cultured fibroblasts	FALSE
